["hostname CE1", "sysname CE1"]
["interface GigabitEthernet2/0/0", "interface GigabitEthernet2/0/0"]
["no shutdown", "undo shutdown"]
["ip address 10.4.1.1 255.255.255.0", "return"]
["ip address 10.4.1.1 255.255.255.0", "ip address 10.4.1.1 255.255.255.0"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["ip address 10.1.1.1 255.255.255.0", "ip address 10.1.1.1 255.255.255.0"]
["router bgp 600", "bgp 600"]
["neighbor 10.1.1.2 remote-as 100", "peer 10.1.1.2 as-number 100"]
["neighbor 10.1.1.2 remote-as 100", "peer 10.1.1.2 enable"]
["neighbor 10.1.1.2 remote-as 100", "import-route direct"]
["neighbor 10.1.1.2 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["no synchronization", "undo synchronization"]
["network 10.1.1.0 mask 255.255.255.0", "network 10.1.1.0 0.0.0.255"]
["neighbor 10.1.1.2 activate", "ipv4-family unicast"]
["neighbor 10.1.1.2 activate", "peer 10.1.1.2 next-hop-local"]
["ip route 0.0.0.0 0.0.0.0 10.1.1.2", "ip route-static 0.0.0.0 0.0.0.0 10.1.1.2 preference 60"]
["ip route 0.0.0.0 0.0.0.0 10.1.1.2", "ip route-static 0.0.0.0 0.0.0.0 10.1.1.2"]
