["hostname DeviceC", "sysname DeviceC"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "undo shutdown"]
["ip address 10.20.1.1 255.255.255.0", "return"]
["ip address 10.20.1.1 255.255.255.0", "ip address 10.20.1.1 255.255.255.0"]
["router bgp 100", "bgp 100"]
["neighbor 10.20.1.2 remote-as 100", "peer 10.20.1.2 as-number 100"]
["neighbor 10.20.1.2 remote-as 100", "peer 10.20.1.2 enable"]
["neighbor 10.20.1.2 remote-as 100", "import-route direct"]
["neighbor 10.20.1.2 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["synchronization", "ipv4-family unicast"]
["synchronization", "synchronization"]
["redistribute connected", "ipv4-family unicast"]
["redistribute connected", "import-route connected 100"]
["redistribute connected", "import-route direct"]
["neighbor 10.20.1.2 activate", "ipv4-family unicast"]
["neighbor 10.20.1.2 activate", "peer 10.20.1.2 next-hop-local"]
["router ospf 1", "ospf 1"]
["network 10.20.1.0 0.0.0.255 area 0", "ospf 1 router-id 10.20.1.0"]
["network 10.20.1.0 0.0.0.255 area 0", "area 0"]
["network 10.20.1.0 0.0.0.255 area 0", "network 10.20.1.0 0.0.0.255"]
