["hostname CE2", "sysname CE2"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["no shutdown", "undo shutdown"]
["ip address 10.1.2.1 255.255.255.0", "return"]
["ip address 10.1.2.1 255.255.255.0", "ip address 10.1.2.1 255.255.255.0"]
["router bgp 65420", "bgp 65420"]
["neighbor 10.1.2.2 remote-as 100", "peer 10.1.2.2 as-number 100"]
["neighbor 10.1.2.2 remote-as 100", "peer 10.1.2.2 enable"]
["neighbor 10.1.2.2 remote-as 100", "import-route direct"]
["neighbor 10.1.2.2 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["no synchronization", "undo synchronization"]
["network 10.1.2.0 mask 255.255.255.0", "network 10.1.2.0 0.0.0.255"]
["neighbor 10.1.2.2 activate", "ipv4-family unicast"]
["neighbor 10.1.2.2 activate", "peer 10.1.2.2 next-hop-local"]
