["hostname DeviceA", "sysname DeviceA"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "undo shutdown"]
["ip address 10.1.1.2 255.255.255.0", "return"]
["ip address 10.1.1.2 255.255.255.0", "ip address 10.1.1.2 255.255.255.0"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["ip address 10.1.2.1 255.255.255.0", "ip address 10.1.2.1 255.255.255.0"]
["router ospf 1", "ospf 1"]
["network 10.1.1.0 0.0.0.255 area 0", "ospf 1 router-id 10.1.1.0"]
["network 10.1.1.0 0.0.0.255 area 0", "area 0"]
["network 10.1.1.0 0.0.0.255 area 0", "network 10.1.1.0 0.0.0.255"]
["network 10.1.2.0 0.0.0.255 area 0", "area 0"]
["network 10.1.2.0 0.0.0.255 area 0", "network 10.1.2.0 0.0.0.255"]
