["hostname LSRB", "sysname LSRB"]
["mpls ldp router-id Loopback0", "mpls lsr-id 3.3.3.9"]
["mpls ldp router-id Loopback0", "mpls"]
["mpls ip", "interface GigabitEthernet2/0/0"]
["mpls ip", "mpls"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["ip address 10.1.2.1 255.255.255.0", "ip address 10.1.2.1 255.255.255.0"]
["interface GigabitEthernet1/0/3", "interface GigabitEthernet1/0/3"]
["ip address 10.1.1.2 255.255.255.0", "ip address 10.1.1.2 255.255.255.0"]
["interface Loopback0", "interface LoopBack0"]
["ip address 2.2.2.9 255.255.255.255", "ip address 2.2.2.9 255.255.255.255"]
["router ospf 1", "ospf 1"]
["network 2.2.2.9 0.0.0.0 area 0", "ospf 1 router-id 2.2.2.9"]
["network 2.2.2.9 0.0.0.0 area 0", "area 0"]
["network 2.2.2.9 0.0.0.0 area 0", "network 2.2.2.9 0.0.0.0"]
["network 10.1.1.0 0.0.0.255 area 0", "area 0"]
["network 10.1.1.0 0.0.0.255 area 0", "network 10.1.1.0 0.0.0.255"]
["network 10.1.2.0 0.0.0.255 area 0", "area 0"]
["network 10.1.2.0 0.0.0.255 area 0", "network 10.1.2.0 0.0.0.255"]
