["hostname Device", "sysname Device"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["interface GigabitEthernet1/0/0.10", "interface GigabitEthernet1/0/0.10"]
["encapsulation dot1q 10", "mpls l2vpn"]
["encapsulation dot1q 10", "interface GigabitEthernet1/0/0.10 mode l2"]
["encapsulation dot1q 10", "encapsulation dot1q vid 10"]
["encapsulation dot1q 10", "vlan-type dot1q 10"]
["encapsulation dot1q 10", "mpls ldp"]
["ip address 192.168.1.1 255.255.255.0", "ip address 192.168.1.1 255.255.255.0"]
