["hostname CE1", "sysname CE1"]
["interface GigabitEthernet1/0/1.1", "interface GigabitEthernet1/0/1.1"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["ip address 192.168.1.2 255.255.255.0", "ip address 192.168.1.2 255.255.255.0"]
["interface GigabitEthernet1/0/2.1", "interface GigabitEthernet1/0/2.1"]
["ip address 172.16.1.2 255.255.255.0", "ip address 172.16.1.2 255.255.255.0"]
["router bgp 65410", "bgp 65410"]
["neighbor 192.168.1.1 remote-as 100", "peer 192.168.1.1 as-number 100"]
["neighbor 192.168.1.1 remote-as 100", "peer 192.168.1.1 enable"]
["neighbor 192.168.1.1 remote-as 100", "import-route direct"]
["neighbor 192.168.1.1 remote-as 100", "ipv4-family unicast"]
["neighbor 172.16.1.1 remote-as 100", "peer 172.16.1.1 as-number 100"]
["neighbor 172.16.1.1 remote-as 100", "peer 172.16.1.1 enable"]
["neighbor 172.16.1.1 remote-as 100", "import-route direct"]
["neighbor 172.16.1.1 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["no synchronization", "undo synchronization"]
["redistribute connected", "ipv4-family unicast"]
["redistribute connected", "import-route connected 65410"]
["redistribute connected", "import-route direct"]
["neighbor 192.168.1.1 activate", "ipv4-family unicast"]
["neighbor 192.168.1.1 activate", "peer 192.168.1.1 next-hop-local"]
["neighbor 172.16.1.1 activate", "ipv4-family unicast"]
["neighbor 172.16.1.1 activate", "peer 172.16.1.1 next-hop-local"]
