["hostname DeviceA", "sysname DeviceA"]
["aaa new-model", "aaa authorization-scheme default"]
["aaa authentication login default group tacacs+ local", "aaa authentication-scheme default"]
["aaa authorization exec default group tacacs+ local", "lns-group tacacs+"]
["username nms2-admin secret 5 $1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1", "local-user nms2-admin password cipher $1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1"]
["snmp-server user nms2-admin grp1 v3 auth sha %$%$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%$% priv aes 128 %$%$at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%$%$ localizedkey", "snmp-agent local-user v3 nms2-admin authentication-mode sha cipher %$%$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%$% privacy-mode aes128 cipher %$%$at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%$%$"]
["snmp-server engineID local 800007DB03001974593301", "snmp-agent local-engineid 800007DB03001974593301"]
["snmp-server community public RO", "snmp-agent local-user v3 public authentication-mode none cipher none privacy-mode none cipher none"]
["snmp-server enable traps snmp linkdown linkup", "snmp-agent sys-info contact call Operator at 010-12345678"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["ip address 1.1.2.1 255.255.255.0", "ip address 1.1.2.1 255.255.255.0"]
["interface Loopback0", "interface LoopBack0"]
["ip address 1.1.3.1 255.255.255.255", "ip address 1.1.3.1 255.255.255.255"]
["router ospf 1", "ospf 1"]
["network 1.1.2.0 0.0.0.255 area 0", "ospf 1 router-id 1.1.2.0"]
["network 1.1.2.0 0.0.0.255 area 0", "area 0"]
["network 1.1.2.0 0.0.0.255 area 0", "network 1.1.2.0 0.0.0.255"]
["network 1.1.3.1 0.0.0.0 area 0", "ospf 1 router-id 1.1.3.1"]
["network 1.1.3.1 0.0.0.0 area 0", "area 0"]
["network 1.1.3.1 0.0.0.0 area 0", "network 1.1.3.1 0.0.0.0"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "snmp-agent sys-info version v3"]
["snmp-server contact Operator at 010-12345678", "snmp-agent sys-info contact Operator at 010-12345678"]
["snmp-server enable traps snmp authentication linkdown linkup", "snmp-agent local-user v3 username authentication-mode sha cipher authentication_cipher privacy-mode aes128 cipher privacy_cipher"]
["snmp-server enable traps snmp authentication linkdown linkup", "snmp-agent protocol source-interface linkup"]
["snmp-server enable traps snmp entity entity_mib_change", "snmp-agent sys-info contact entity_mib_change"]
["snmp-server enable traps snmp entity fru_insert_remove", "snmp-agent sys-info contact fru_insert_remove"]
