["hostname CE2", "sysname CE2"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["ip address 10.2.1.1 255.255.255.0", "ip address 10.2.1.1 255.255.255.0"]
["interface Loopback1", "interface Loopback1"]
["ip address 10.22.2.2 255.255.255.255", "interface LoopBack1"]
["ip address 10.22.2.2 255.255.255.255", "ip address 10.22.2.2 255.255.255.255"]
["router bgp 65420", "bgp 65420"]
["neighbor 10.2.1.2 remote-as 100", "peer 10.2.1.2 as-number 100"]
["neighbor 10.2.1.2 remote-as 100", "peer 10.2.1.2 enable"]
["neighbor 10.2.1.2 remote-as 100", "import-route direct"]
["neighbor 10.2.1.2 remote-as 100", "ipv4-family unicast"]
["network 10.22.2.2 mask 255.255.255.255", "network 10.22.2.2 0.0.0.0"]
["address-family ipv4", "ipv4-family unicast"]
["neighbor 10.2.1.2 activate", "ipv4-family unicast"]
["neighbor 10.2.1.2 activate", "peer 10.2.1.2 next-hop-local"]
