["hostname CE1", "sysname CE1"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "undo shutdown"]
["ip address 10.1.1.1 255.255.255.252", "return"]
["ip address 10.1.1.1 255.255.255.252", "ip address 10.1.1.1 255.255.255.252"]
["interface Loopback1", "interface Loopback1"]
["ip address 3.3.3.3 255.255.255.255", "ip address 3.3.3.3 255.255.255.255"]
["router bgp 65410", "bgp 65410"]
["neighbor 10.1.1.2 remote-as 100", "peer 10.1.1.2 as-number 100"]
["neighbor 10.1.1.2 remote-as 100", "peer 10.1.1.2 enable"]
["neighbor 10.1.1.2 remote-as 100", "import-route direct"]
["neighbor 10.1.1.2 remote-as 100", "ipv4-family unicast"]
["address-family ipv4 unicast", "ipv4-family unicast"]
["address-family ipv4 unicast", "undo synchronization"]
["no synchronization", "undo synchronization"]
["neighbor 10.1.1.2 activate", "ipv4-family unicast"]
["neighbor 10.1.1.2 activate", "peer 10.1.1.2 next-hop-local"]
["neighbor 10.1.1.2 send-community", "ipv4-family unicast"]
["neighbor 10.1.1.2 send-community", "peer 10.1.1.2 advertise-community"]
["network 3.3.3.3 mask 255.255.255.255", "network 3.3.3.3 0.0.0.0"]
["neighbor 10.1.1.2 route-map direct-import in", "ipv4-family unicast"]
["neighbor 10.1.1.2 route-map direct-import in", "peer 10.1.1.2 route-policy direct-import import"]
