["hostname CE1", "sysname CE1"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["no shutdown", "return"]
["no shutdown", "undo shutdown"]
["interface GigabitEthernet1/0/0.1", "interface GigabitEthernet1/0/0.1"]
["encapsulation dot1q 1", "mpls l2vpn"]
["encapsulation dot1q 1", "interface GigabitEthernet1/0/0.1 mode l2"]
["encapsulation dot1q 1", "encapsulation dot1q vid 1"]
["encapsulation dot1q 1", "vlan-type dot1q 1"]
["encapsulation dot1q 1", "mpls ldp"]
["ip address 10.1.1.1 255.255.255.0", "ip address 10.1.1.1 255.255.255.0"]
