["hostname CE1", "set system host-name CE1"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 unit 0 disable"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 disable"]
["no shutdown", "set interfaces ge-2/0/0 ether-options no-auto-negotiation"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 10.4.1.1 255.255.255.0", "set interfaces ge-2/0/0 unit 0 family inet address 10.4.1.1/24"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["ip address 10.1.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.1/24"]
["router bgp 600", "set routing-options autonomous-system 600"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP neighbor 10.1.1.2 peer-as 100"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.1.1.2 remote-as 100", "set protocols bgp group IBGP export BGP-NETWORKS"]
["address-family ipv4 unicast", "set protocols bgp group IBGP family inet unicast"]
["no synchronization", "set protocols bgp local-as 600"]
["network 10.1.1.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 10.1.1.0/24 exact"]
["network 10.1.1.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term 10.1.1.0 then 255.255.255.0"]
["ip route 0.0.0.0 0.0.0.0 10.1.1.2", "set routing-options static route 0.0.0.0/0 next-hop 10.1.1.2"]
