["hostname DeviceB", "set system host-name DeviceB"]
["interface GigabitEthernet3/0/0", "set interfaces ge-3/0/0 unit 0 disable"]
["interface GigabitEthernet3/0/0", "set interfaces ge-3/0/0 disable"]
["no shutdown", "set interfaces ge-3/0/0 ether-options no-auto-negotiation"]
["ip address 2.2.2.2 255.255.255.0", "set interfaces ge-3/0/0 unit 0 family inet address 2.2.2.2/24"]
["router ospf 1", "set protocols ospf area 1 interface ge-0/0/1.0"]
["network 2.2.2.0 0.0.0.255 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 2.2.2.0 0.0.0.255 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
["network 3.3.3.0 0.0.0.255 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 3.3.3.0 0.0.0.255 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
["interface GigabitEthernet2/0/0", "set interfaces ge-3/0/0 unit 0 disable"]
["interface GigabitEthernet2/0/0", "set interfaces ge-3/0/0 disable"]
["ip address 3.3.3.1 255.255.255.0", "set interfaces ge-3/0/0 unit 0 family inet address 3.3.3.1/24"]
