["hostname CE4", "set system host-name CE4"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 10.4.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.4.1.1/24"]
["router bgp 65440", "set routing-options autonomous-system 65440 deactivate protocols bgp group <group-name> family inet"]
["neighbor 10.4.1.2 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.4.1.2 remote-as 100", "set protocols bgp group IBGP neighbor 10.4.1.2 peer-as 100"]
["neighbor 10.4.1.2 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.4.1.2 remote-as 100", "set protocols bgp group IBGP export 100"]
["address-family ipv4 unicast", "set protocols bgp group IBGP family inet unicast"]
["no synchronization", "set protocols bgp local-as 65440"]
["redistribute connected", "set policy-options policy-statement REDISTRIBUTE-CONNECTED term 1 from protocol connected"]
["exit-address-family", "set routing-options autonomous-system 65440 deactivate protocols bgp group <group-name> family inet"]
["exit-address-family", "set routing-options autonomous-system 65440 exit"]
