["hostname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["no shutdown", "set interfaces ge-1/0/1 ether-options no-auto-negotiation"]
["ip address 10.1.2.1 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24"]
["router bgp 65420", "set routing-options autonomous-system 65420"]
["neighbor 10.1.2.2 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.1.2.2 remote-as 100", "set protocols bgp group IBGP neighbor 10.1.2.2 peer-as 100"]
["neighbor 10.1.2.2 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.1.2.2 remote-as 100", "set protocols bgp group IBGP export 100"]
["address-family ipv4 unicast", "set protocols bgp group IBGP family inet unicast"]
["no synchronization", "set protocols bgp local-as 65420"]
["network 10.1.2.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term none from route-filter 10.1.2.0/24 exact"]
["network 10.1.2.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term 10.1.2.0 then 255.255.255.0"]
