["hostname LSRB", "set system host-name LSRB"]
["mpls ldp router-id Loopback0", "set protocols ldp router-id 1.1.1.9"]
["mpls ip", "set protocols mpls interface ge-1/0/2.0"]
["mpls ip", "set interfaces ge-0/0/0 unit 0 family mpls"]
["mpls ip", "set protocols mpls interface ge-1/0/1.0"]
["mpls ip", "set interfaces ge-1/0/1 unit 0 family mpls"]
["mpls ip", "set protocols mpls interface ge-1/0/3.0"]
["mpls ip", "set interfaces ge-1/0/3 unit 0 family mpls"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["no shutdown", "set interfaces ge-1/0/1 ether-options no-auto-negotiation"]
["no shutdown", "set interfaces ge-1/0/3 ether-options no-auto-negotiation"]
["ip address 10.1.2.1 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/3 unit 3 disable"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/3 disable"]
["ip address 10.1.1.2 255.255.255.0", "set interfaces ge-1/0/3 unit 0 family inet address 10.1.1.2/24"]
["interface Loopback0", "set interfaces lo0 unit 0 disable"]
["interface Loopback0", "set interfaces lo0 disable"]
["ip address 2.2.2.9 255.255.255.255", "set interfaces lo0 unit 0 family inet address 2.2.2.9/32"]
["router ospf 1", "set protocols ospf area 1 interface 1"]
["network 2.2.2.9 0.0.0.0 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 2.2.2.9 0.0.0.0 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
["network 10.1.1.0 0.0.0.255 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 10.1.1.0 0.0.0.255 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
["network 10.1.2.0 0.0.0.255 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 10.1.2.0 0.0.0.255 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
