["hostname DeviceD", "set system host-name DeviceD"]
["router ospf 1", "set protocols ospf area 0.0.0.1 interface 1"]
["router-id 4.4.4.4", "set protocols ospf area 1 interface ge-0/0/1.0 set protocols ospf router-id 4.4.4.4"]
["network 192.168.2.0 0.0.0.255 area 0.0.0.2", "set protocols ospf area 0.0.0.2 interface ge-0/0/1.0"]
["network 192.168.2.0 0.0.0.255 area 0.0.0.2", "set protocols ospf area 0.0.0.2 interface lo0.0 passive"]
["network 172.17.1.0 0.0.0.255 area 0.0.0.2", "set protocols ospf area 0.0.0.2 interface ge-0/0/1.0"]
["network 172.17.1.0 0.0.0.255 area 0.0.0.2", "set protocols ospf area 0.0.0.2 interface lo0.0 passive"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["no shutdown", "set interfaces ge-2/0/0 ether-options no-auto-negotiation"]
["ip address 192.168.2.2 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 192.168.2.2/24"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 unit 0 disable"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 disable"]
["ip address 172.17.1.1 255.255.255.0", "set interfaces ge-2/0/0 unit 0 family inet address 172.17.1.1/24"]
