["hostname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["no shutdown", "set interfaces ge-1/0/1 ether-options no-auto-negotiation"]
["interface GigabitEthernet1/0/1.20", "set interfaces ge-1/0/1.20 unit 20 disable"]
["interface GigabitEthernet1/0/1.20", "set interfaces ge-1/0/1.20 disable"]
["encapsulation dot1Q 20", "set interfaces ge-1/0/1.20 encapsulation dot1q 20"]
["encapsulation dot1Q 20", "set interfaces ge-1/0/1.20 unit 20 encapsulation dot1Q"]
["ip address 10.3.1.2 255.255.255.0", "set interfaces ge-1/0/1.20 unit 0 family inet address 10.3.1.2/24"]
["router bgp 65420", "set routing-options autonomous-system 65420"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP neighbor 10.2.1.1 peer-as 100"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP export BGP-NETWORKS"]
["address-family ipv4 unicast", "set protocols bgp group IBGP family inet unicast set protocols bgp group <group-name> no-synchronize"]
["synchronization none", "set protocols bgp group IBGP family inet unicast set protocols bgp group <group-name> no-synchronize"]
["network 10.3.1.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term 10.3.1.0 from route-filter 255.255.255.0/exact none"]
["network 10.3.1.0 mask 255.255.255.0", "set policy-options policy-statement BGP-NETWORKS term 10.3.1.0 then 255.255.255.0"]
["neighbor 10.2.1.1 activate", "set protocols bgp local-as 65420"]
