["hostname DeviceA", "set system host-name DeviceA"]
["aaa new-model", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1"]
["aaa authentication login default group tacacs+ local", "set system authentication-order tacplus password"]
["aaa authorization exec default group tacacs+ local", "set system login tacplus accounting events login"]
["aaa authorization exec default group tacacs+ local", "set system login tacplus authorization"]
["aaa authorization exec default group tacacs+ local", "set system login user * authentication-order [ tacplus password ]"]
["aaa authorization network default group tacacs+ local", "set system tacplus-server 1.1.2.1 secret \"$secret\" source-address 1.1.3.1"]
["aaa authorization network default group tacacs+ local", "set system tacplus-options authorization"]
["username nms2-admin secret 5 $1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1", "set system login user nms2-admin class super-user authentication encrypted-password \"$1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1\""]
["snmp-server user nms2-admin grp1 v3 auth sha %$%$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%$% priv aes 128 %$%$at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%$%$ localizedkey", "set snmp v3 usm local-engine user nms2-admin authentication-sha authentication-password \"$1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1\" privacy-aes128 privacy-password \"at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE\""]
["snmp-server engineID local 800007DB03001974593301", "set snmp engine-id 800007DB03001974593301"]
["snmp-server community public RO", "set snmp community public authorization read-only"]
["snmp-server enable traps snmp linkdown linkup", "set snmp trap-options linkup"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 1.1.2.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 1.1.2.1/24"]
["interface Loopback0", "set interfaces lo0 unit 0 disable"]
["interface Loopback0", "set interfaces lo0 disable"]
["ip address 1.1.3.1 255.255.255.255", "set interfaces lo0 unit 0 family inet address 1.1.3.1/32"]
["router ospf 1", "set protocols ospf area 0.0.0.1 interface 1"]
["network 1.1.2.0 0.0.0.255 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 1.1.2.0 0.0.0.255 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
["network 1.1.3.1 0.0.0.0 area 0", "set protocols ospf area 0 interface ge-0/0/1.0"]
["network 1.1.3.1 0.0.0.0 area 0", "set protocols ospf area 0 interface lo0.0 passive"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 target-address 1.1.2.1 parameters security-name nms2-admin"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 notify notify1 type trap"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 notify notify1 tag-list notify1"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 target-parameters targetParam1 parameters message-processing-model v3"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 target-parameters targetParam1 parameters security-model v3"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 target-parameters targetParam1 parameters security-level privacy"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 target-parameters targetParam1 parameters security-name nms2-admin"]
["snmp-server host 1.1.2.1 version 3 nms2-admin", "set snmp v3 target-parameters targetParam1 notify-filter notify1"]
["snmp-server contact Operator at 010-12345678", "set snmp contact Operator at 010-12345678"]
["snmp-server enable traps snmp coldstart warmstart", "set snmp trap-options warmstart"]
["snmp-server enable traps snmp entity entity_mib_change", "set snmp trap-options entity-mib-change"]
["snmp-server enable traps snmp entity fru_insert_remove", "set snmp trap-options fru-insert-remove"]
["snmp-server enable traps snmp entity module_status", "set snmp trap-options module-status"]
["snmp-server enable traps snmp link linkDown", "set snmp trap-options link-down"]
["snmp-server enable traps snmp link linkUp", "set snmp trap-options link-up"]
["snmp-server enable traps snmp pim neighbor-change", "set snmp trap-options neighbor-change"]
["snmp-server enable traps snmp pim neighbor-loss", "set snmp trap-options neighbor-loss"]
["snmp-server enable traps snmp pim neighbor-up", "set snmp trap-options pim neighbor-up"]
["snmp-server enable traps snmp pim rp-candidate-change", "set snmp trap-options rp-candidate-change"]
["snmp-server enable traps snmp pim rp-candidate-trigger", "set snmp trap-options rp-candidate-trigger"]
["snmp-server enable traps snmp rtr", "set snmp trap-options rtr"]
["snmp-server enable traps snmp syslog", "set snmp trap-options syslog"]
