["hostname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 10.2.1.2 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.2/24"]
["interface Loopback1", "set interfaces lo0.1 unit 1 disable"]
["interface Loopback1", "set interfaces lo0.1 disable"]
["ip address 22.22.22.22 255.255.255.255", "set interfaces lo0 unit 0 family inet address 22.22.22.22/32"]
["router bgp 65420", "set routing-options autonomous-system 65420 family inet"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP neighbor 10.2.1.1 peer-as 100"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.2.1.1 remote-as 100", "set protocols bgp group IBGP export BGP-NETWORKS"]
["address-family ipv4", "set routing-options autonomous-system 65420 family inet"]
["no synchronization", "set protocols bgp local-as 65420"]
["network 22.22.22.22 mask 255.255.255.255", "set policy-options policy-statement BGP-NETWORKS term 1 from route-filter 22.22.22.22/32 exact"]
["network 22.22.22.22 mask 255.255.255.255", "set policy-options policy-statement BGP-NETWORKS term 22.22.22.22 then 255.255.255.255"]
