["hostname CE3", "set system host-name CE3"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 unit 0 disable"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["no shutdown", "set interfaces ge-1/0/0 ether-options no-auto-negotiation"]
["ip address 10.3.1.1 255.255.255.252", "set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/30"]
["interface Loopback1", "set interfaces lo0 unit 0 disable"]
["interface Loopback1", "set interfaces lo0 disable"]
["ip address 5.5.5.5 255.255.255.255", "set interfaces lo0.1 unit 0 family inet address 5.5.5.5/32"]
["router bgp 65420", "set routing-options autonomous-system 65420 family inet"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP type external"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP neighbor 10.3.1.2 peer-as 100"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP peer-as 100"]
["neighbor 10.3.1.2 remote-as 100", "set protocols bgp group IBGP export BGP-NETWORKS"]
["neighbor 10.3.1.2 activate", "set protocols bgp local-as 65420"]
["address-family ipv4", "set routing-options autonomous-system 65420 family inet"]
