["hostname PE", "set system host-name PE"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["no shutdown", "set interfaces ge-1/0/1 ether-options no-auto-negotiation"]
["interface GigabitEthernet1/0/1.10", "set interfaces ge-1/0/1.10 unit 10 disable"]
["interface GigabitEthernet1/0/1.10", "set interfaces ge-1/0/1.10 disable"]
["encapsulation dot1q 10", "set interfaces ge-1/0/1.10 unit 10 vlan-id 10"]
["ip address 10.110.2.5 255.255.255.0", "set interfaces ge-1/0/1.10 unit 0 family inet address 10.110.2.5/24"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 unit 2 disable"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["ip address 10.110.3.5 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.110.3.5/24"]
