["hostname CE2", "set system host-name CE2"]
["vlan 5", "set vlans vlan5 vlan-id 5"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["no shutdown", "set interfaces ge-1/0/1 ether-options no-auto-negotiation"]
["switchport mode access", "set interfaces ge-1/0/1 unit 0 family ethernet-switching interface-mode access"]
["switchport mode access", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["switchport access vlan 5", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 5"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 unit 2 disable"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/3 unit 3 disable"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/3 disable"]
["switchport mode trunk", "set interfaces ge-1/0/1 unit 0 family ethernet-switching interface-mode trunk"]
["switchport mode trunk", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["switchport trunk allowed vlan 5", "set interfaces ge-1/0/3 set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members 5"]
