["sysname CE1", "hostname CE1"]
["interface GigabitEthernet2/0/0", "interface GigabitEthernet2/0/0"]
["undo shutdown", "no shutdown"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["ip address 10.4.1.1 255.255.255.0", "end"]
["ip address 10.4.1.1 255.255.255.0", "ip address 10.4.1.1 255.255.255.0"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["ip address 10.1.1.1 255.255.255.0", "ip address 10.1.1.1 255.255.255.0"]
["bgp 600", "router bgp 600"]
["peer 10.1.1.2 as-number 100", "neighbor 10.1.1.2 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.1.1.2 enable", "neighbor 10.1.1.2 activate"]
["peer 10.1.1.2 enable", "exit-address-family"]
["ip route-static 0.0.0.0 0.0.0.0 10.1.1.2", "tunnel destination 10.1.1.2"]
["ip route-static 0.0.0.0 0.0.0.0 10.1.1.2", "ip address 10.1.1.2 255.255.255.0"]
