["sysname DeviceB", "hostname DeviceB"]
["interface GigabitEthernet 3/0/0", "interface GigabitEthernet3/0/0.1"]
["undo shutdown", "interface GigabitEthernet3/0/0"]
["undo shutdown", "no shutdown"]
["undo shutdown", "interface GigabitEthernet 2/0/0"]
["ip address 2.2.2.2 255.255.255.0", "end"]
["ip address 2.2.2.2 255.255.255.0", "ip address 2.2.2.2 255.255.255.0"]
["ospf 1", "router ospf 1"]
["area 0.0.0.0", "network 2.2.2.0 0.0.0.255 area 0.0.0.0"]
["network 2.2.2.0 0.0.0.255", "network 2.2.2.0 0.0.0.255 area 0.0.0.0"]
["network 3.3.3.0 0.0.0.255", "network 3.3.3.0 0.0.0.255 area 0"]
["interface GigabitEthernet 2/0/0", "interface GigabitEthernet2/0/0.1"]
["ip address 3.3.3.1 255.255.255.0", "interface GigabitEthernet2/0/0"]
["ip address 3.3.3.1 255.255.255.0", "ip address 3.3.3.1 255.255.255.0"]
