["sysname CE4", "hostname CE4"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 10.4.1.1 255.255.255.0", "end"]
["ip address 10.4.1.1 255.255.255.0", "ip address 10.4.1.1 255.255.255.0"]
["bgp 65440", "router bgp 65440"]
["peer 10.4.1.2 as-number 100", "neighbor 10.4.1.2 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.4.1.2 enable", "neighbor 10.4.1.2 activate"]
["peer 10.4.1.2 enable", "exit-address-family"]
