["sysname DeviceC", "hostname DeviceC"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 10.20.1.1 255.255.255.0", "end"]
["ip address 10.20.1.1 255.255.255.0", "ip address 10.20.1.1 255.255.255.0"]
["bgp 100", "router bgp 100"]
["peer 10.20.1.2 as-number 100", "neighbor 10.20.1.2 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.20.1.2 enable", "neighbor 10.20.1.2 activate"]
["peer 10.20.1.2 enable", "exit-address-family"]
["ospf 1", "router ospf 1"]
["area 0.0.0.0", "network 10.20.1.0 0.0.0.255 area 0.0.0.0"]
["network 10.20.1.0 0.0.0.255", "network 10.20.1.0 0.0.0.255 area 0.0.0.0"]
