["sysname SSH_Server", "hostname SSH_Server"]
["ip domain-name example.com", "ip domain-name example.com"]
["rsa local-key-pair create 2048", "ssh key rsa 2048"]
["ssh server enable", "clock ssm control enable"]
["ssh server compatibility enable", "ip ssh version 2"]
["interface LoopBack0", "interface LoopBack0"]
["ip address 10.1.1.1 255.255.255.255", "end"]
["ip address 10.1.1.1 255.255.255.255", "ip address 10.1.1.1 255.255.255.255"]
["ssh server cipher aes128-ctr aes192-ctr aes256-ctr", "ip ssh server algorithm encryption aes128-ctr aes192-ctr aes256-ctr"]
["aaa", "aaa authentication enable default none"]
["local-user client001 password irreversible-cipher @%@%UyQs4,KTtSwJo(4QmW#K,LC:@%@%", "aaa authentication enable default @%@%UyQs4,KTtSwJo(4QmW#K,LC:@%@%"]
["local-user client001 privilege level 15", "aaa authentication enable default enable"]
["local-user client001 service-type ssh", "aaa authentication enable default client001"]
["interface GigabitEthernet0/0/0", "interface GigabitEthernet0/0/0"]
["ip address 10.1.1.2 255.255.0.0", "ip address 10.1.1.2 255.255.0.0"]
["undo shutdown", "no shutdown"]
["user-interface vty 0 4", "ip tcp connect none 4"]
["authentication-mode aaa", "line vty 0 4"]
["authentication-mode aaa", "login authentication aaa"]
["protocol inbound ssh", "transport input ssh"]
