["sysname CE2", "hostname CE2"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 10.1.2.1 255.255.255.0", "end"]
["ip address 10.1.2.1 255.255.255.0", "ip address 10.1.2.1 255.255.255.0"]
["bgp 65420", "router bgp 65420"]
["peer 10.1.2.2 as-number 100", "neighbor 10.1.2.2 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "neighbor 3.3.3.9 update-source Loopback1"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.1.2.2 enable", "neighbor 10.1.2.2 activate"]
["peer 10.1.2.2 enable", "exit-address-family"]
