["sysname DeviceA", "hostname DeviceA"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 10.1.1.2 255.255.255.0", "end"]
["ip address 10.1.1.2 255.255.255.0", "ip address 10.1.1.2 255.255.255.0"]
["ip address 10.1.2.1 255.255.255.0", "ip address 10.1.2.1 255.255.255.0"]
["ospf 1", "router ospf 1"]
["area 0.0.0.0", "network 10.1.1.0 0.0.0.255 area 0.0.0.0"]
["network 10.1.1.0 0.0.0.255", "network 10.1.1.0 0.0.0.255 area 0.0.0.0"]
["network 10.1.2.0 0.0.0.255", "network 10.1.2.0 0.0.0.255 area 0"]
