["sysname DeviceD", "hostname DeviceD"]
["router id 4.4.4.4", "router-id 4.4.4.4"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 192.168.2.2 255.255.255.0", "end"]
["ip address 192.168.2.2 255.255.255.0", "ip address 192.168.2.2 255.255.255.0"]
["interface GigabitEthernet2/0/0", "interface GigabitEthernet2/0/0"]
["ip address 172.17.1.1 255.255.255.0", "ip address 172.17.1.1 255.255.255.0"]
["ospf 1", "router ospf 1"]
["area 0.0.0.2", "network 192.168.2.0 0.0.0.255 area 0.0.0.2"]
["network 192.168.2.0 0.0.0.255", "network 192.168.2.0 0.0.0.255 area 0.0.0.2"]
["network 172.17.1.0 0.0.0.255", "network 172.17.1.0 0.0.0.255 area 0.0.0.2"]
