["sysname DeviceA", "hostname DeviceA"]
["aaa", "aaa authentication enable default none"]
["local-user nms2-admin service-type snmp", "snmp-server user nms2-admin group grp1 v3 auth sha priv aes 128"]
["local-user nms2-admin user-group grp1", "aaa authentication enable default grp1"]
["task-group tg1", "aaa authentication enable default tg1"]
["task snmp write", "aaa authentication enable default enable"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["ip address 1.1.2.1 255.255.255.0", "end"]
["ip address 1.1.2.1 255.255.255.0", "ip address 1.1.2.1 255.255.255.0"]
["interface loopback0", "interface loopback0"]
["ip address 1.1.3.1 255.255.255.255", "ip address 1.1.3.1 255.255.255.255"]
["ospf 1", "router ospf 1"]
["area 0.0.0.0", "network 1.1.2.0 0.0.0.255 area 0.0.0.0"]
["network 1.1.2.0 0.0.0.255", "network 1.1.2.0 0.0.0.255 area 0.0.0.0"]
["network 1.1.3.1 0.0.0.0", "network 1.1.3.1 0.0.0.0 area 0"]
["snmp-agent", "snmp-server"]
["snmp-agent password min-length 10", "snmp-server user nms2-admin grp1 v3 auth sha %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%# priv aes 128 10"]
["snmp-agent local-engineid 800007DB03001974593301", "snmp-server engineID local 800007DB03001974593301"]
["snmp-agent protocol source-interface Loopback0", "snmp-server enable traps snmp pim neighbor-change"]
["snmp-agent sys-info contact call Operator at 010-12345678", "snmp-server contact Operator at 010-12345678"]
["snmp-agent sys-info version v3", "snmp-server host none version 3 none"]
["snmp-agent local-user v3 nms2-admin authentication-mode sha cipher %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%# privacy-mode aes128 cipher %#%#at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%#%#", "snmp-server user nms2-admin grp1 v3 auth sha %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%# priv aes 128 %#%#at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%#%#"]
