["sysname CE2", "hostname CE2"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "no shutdown"]
["ip address 10.2.1.1 255.255.255.0", "end"]
["ip address 10.2.1.1 255.255.255.0", "ip address 10.2.1.1 255.255.255.0"]
["interface LoopBack1", "interface LoopBack1"]
["ip address 10.22.2.2 255.255.255.255", "ip address 10.22.2.2 255.255.255.255"]
["bgp 65420", "router bgp 65420"]
["peer 10.2.1.2 as-number 100", "neighbor 10.2.1.2 remote-as 100"]
["network 10.22.2.2 255.255.255.255", "router ospf 10"]
["network 10.22.2.2 255.255.255.255", "network 10.22.2.2 0.0.0.0 area 0"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["peer 10.2.1.2 enable", "neighbor 10.2.1.2 activate"]
["peer 10.2.1.2 enable", "exit-address-family"]
