["sysname CE2", "hostname CE2"]
["vlan batch 10", "vlan batch 10"]
["vlan batch 10", "vlan 10"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["portswitch", "switchport"]
["portswitch", "switchport mode access"]
["undo shutdown", "interface GigabitEthernet1/0/1"]
["undo shutdown", "no shutdown"]
["port link-type access", "spanning-tree portfast access"]
["port default vlan 10", "end"]
["port default vlan 10", "switchport access vlan 10"]
["interface GigabitEthernet2/0/0", "interface GigabitEthernet2/0/0"]
