["sysname CE1", "hostname CE1"]
["interface GigabitEthernet1/0/0", "interface GigabitEthernet1/0/0"]
["undo shutdown", "no shutdown"]
["ip address 10.1.1.1 255.255.255.252", "end"]
["ip address 10.1.1.1 255.255.255.252", "ip address 10.1.1.1 255.255.255.252"]
["interface LoopBack1", "interface LoopBack1"]
["ip address 3.3.3.3 255.255.255.255", "ip address 3.3.3.3 255.255.255.255"]
["bgp 65410", "router bgp 65410"]
["peer 10.1.1.2 as-number 100", "neighbor 10.1.1.2 remote-as 100"]
["ipv4-family unicast", "address-family ipv4 unicast"]
["undo synchronization", "no synchronization"]
["import-route direct", "address-family ipv4 vrf vpn1"]
["import-route direct", "redistribute connected"]
["peer 10.1.1.2 enable", "neighbor 10.1.1.2 activate"]
["peer 10.1.1.2 enable", "exit-address-family"]
