["sysname CE1", "hostname CE1"]
["vlan batch 5 9", "vlan batch 9"]
["interface GigabitEthernet1/0/1", "interface GigabitEthernet1/0/1"]
["portswitch", "switchport"]
["portswitch", "switchport mode access"]
["undo shutdown", "no shutdown"]
["port link-type access", "spanning-tree portfast access"]
["port default vlan 5", "switchport access vlan 5"]
["interface GigabitEthernet1/0/2", "interface GigabitEthernet1/0/2"]
["interface GigabitEthernet1/0/3", "interface GigabitEthernet1/0/3"]
["port default vlan 9", "switchport access vlan 9"]
["interface GigabitEthernet1/0/4", "interface GigabitEthernet1/0/4"]
["interface GigabitEthernet1/0/5", "interface GigabitEthernet1/0/5"]
["port link-type trunk", "spanning-tree portfast trunk"]
["port trunk allow-pass vlan 5 9", "end"]
["port trunk allow-pass vlan 5 9", "switchport trunk allowed vlan 9"]
