["sysname CE1", "set system host-name CE1"]
["interface GigabitEthernet2/0/0", "set interfaces ge-2/0/0 disable"]
["undo shutdown", "set interfaces ge-2/0/0 disable"]
["undo shutdown", "set interfaces ge-2/0/0 unit 0 disable"]
["ip address 10.4.1.1 255.255.255.0", "set interfaces ge-2/0/0 unit 0 family inet address 10.4.1.1/24"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["ip address 10.1.1.1 255.255.255.0", "set interfaces ge-2/0/0 unit 0 family inet address 10.1.1.1/24"]
["bgp 600", "set routing-options autonomous-system 600"]
["bgp 600", "set protocols bgp group 600 type 600"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 600 type external"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 600 neighbor 10.1.1.2 peer-as 100"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 600 peer-as 100"]
["peer 10.1.1.2 as-number 100", "set protocols bgp group 600 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 600 family inet unicast"]
["undo synchronization", "set protocols bgp group 600 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement direct term 1 from protocol direct"]
["peer 10.1.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
["ip route-static 0.0.0.0 0.0.0.0 10.1.1.2", "set routing-options static route 0.0.0.0/0 next-hop 10.1.1.2"]
