["sysname DeviceB", "set system host-name DeviceB"]
["interface GigabitEthernet 3/0/0", "interfaces ge-3/0/0"]
["undo shutdown", "set interfaces ge-3/0/0 disable"]
["undo shutdown", "set interfaces ge-3/0/0 unit 0 disable"]
["undo shutdown", "set interfaces ge-2/0/0 disable"]
["undo shutdown", "set interfaces ge-2/0/0 unit 0 disable"]
["ip address 2.2.2.2 255.255.255.0", "set interfaces ge-3/0/0 unit 0 family inet address 2.2.2.2/24"]
["ospf 1", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["area 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 2.2.2.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 3.3.3.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["interface GigabitEthernet 2/0/0", "interfaces ge-2/0/0"]
["ip address 3.3.3.1 255.255.255.0", "set interfaces ge-2/0/0 unit 0 family inet address 3.3.3.1/24"]
