["sysname CE4", "set system host-name CE4"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.4.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.4.1.1/24"]
["bgp 65440", "set routing-options autonomous-system 65440"]
["bgp 65440", "set protocols bgp group 65440 type external"]
["peer 10.4.1.2 as-number 100", "set protocols bgp group IBGP type external"]
["peer 10.4.1.2 as-number 100", "set protocols bgp group IBGP neighbor 10.4.1.2 peer-as 100"]
["peer 10.4.1.2 as-number 100", "set protocols bgp group IBGP peer-as 100"]
["peer 10.4.1.2 as-number 100", "set protocols bgp group IBGP export 100"]
["ipv4-family unicast", "set protocols bgp group 65440 family inet unicast"]
["undo synchronization", "set protocols bgp group IBGP family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement DIRECT-IMPORT term 1 from protocol direct"]
["peer 10.4.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
