["sysname DeviceC", "set system host-name DeviceC"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.20.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.20.1.1/24"]
["bgp 100", "set routing-options autonomous-system 100"]
["bgp 100", "set protocols bgp group 100 type external"]
["peer 10.20.1.2 as-number 100", "set protocols bgp group 100 type external"]
["peer 10.20.1.2 as-number 100", "set protocols bgp group 100 neighbor 10.20.1.2 peer-as 100"]
["peer 10.20.1.2 as-number 100", "set protocols bgp group 100 peer-as 100"]
["peer 10.20.1.2 as-number 100", "set protocols bgp group 100 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 100 family inet unicast"]
["undo synchronization", "set protocols bgp group 100 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement direct term 1 from protocol direct"]
["peer 10.20.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
["ospf 1", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["area 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 10.20.1.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
