["sysname CE1", "set system host-name CE1"]
["vlan batch 10", "set vlans vlan10 vlan-id 10"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["undo shutdown", "set interfaces ge-1/0/1 delete disable"]
["port link-type access", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["port default vlan 10", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 10"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["port link-type trunk", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["port trunk allow-pass vlan 10", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 10"]
