["sysname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["ip address 10.1.2.1 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24"]
["bgp 65420", "set routing-options autonomous-system 65420"]
["bgp 65420", "set protocols bgp group 65420 type external"]
["peer 10.1.2.2 as-number 100", "set protocols bgp group 65420 type external"]
["peer 10.1.2.2 as-number 100", "set protocols bgp group 65420 neighbor 10.1.2.2 peer-as 100"]
["peer 10.1.2.2 as-number 100", "set protocols bgp group 65420 peer-as 100"]
["peer 10.1.2.2 as-number 100", "set protocols bgp group 65420 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65420 family inet unicast delete protocols bgp group <group-name> synchronization"]
["undo synchronization", "set protocols bgp group 65420 family inet unicast delete protocols bgp group <group-name> synchronization"]
["import-route direct", "set policy-options policy-statement direct term 1 from protocol direct"]
["peer 10.1.2.2 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
