["sysname DeviceA", "set system host-name DeviceA"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.1.1.2 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/0 disable"]
["ip address 10.1.2.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.1.2.1/24"]
["ospf 1", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["area 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 10.1.1.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 10.1.2.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
