["sysname LSRB", "set system host-name LSRB"]
["mpls lsr-id 2.2.2.9", "set system host-name 2.2.2.9"]
["mpls", "set protocols mpls interface all"]
["mpls", "set protocols mpls interface ge-1/0/1.0"]
["mpls", "set protocols mpls interface ge-1/0/3.0"]
["mpls", "set interfaces ge-1/0/1 set protocols mpls interface all"]
["mpls", "set interfaces ge-1/0/1 set protocols mpls interface ge-1/0/1.0"]
["mpls", "set interfaces ge-1/0/1 set protocols mpls interface ge-1/0/3.0"]
["mpls ldp", "set protocols ldp interface all family inet"]
["mpls ldp", "set interfaces ge-1/0/1 set protocols ldp interface all family inet"]
["mpls ldp", "set interfaces ge-1/0/1 set protocols ldp interface ge-1/0/1.0"]
["mpls ldp", "set interfaces ge-1/0/1 set protocols ldp interface ge-1/0/3.0"]
["ipv4-family", "set protocols ldp interface all family inet"]
["ipv4-family", "set interfaces ge-1/0/1 set protocols ldp interface all family inet"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["ip address 10.1.2.1 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/1 disable"]
["ip address 10.1.1.2 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.1.1.2/24"]
["interface LoopBack0", "set interfaces ge-1/0/1 disable"]
["ip address 2.2.2.9 255.255.255.255", "set interfaces ge-1/0/1 unit 0 family inet address 2.2.2.9/32"]
["ospf 1", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["area 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 2.2.2.9 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 10.1.1.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 10.1.2.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
