["sysname CE1", "set system host-name CE1"]
["interface GigabitEthernet1/0/1.1", "set interfaces ge-1/0/1.1 disable"]
["undo shutdown", "set interfaces ge-1/0/1.1 disable"]
["undo shutdown", "set interfaces ge-1/0/1.1 unit 0 disable"]
["undo shutdown", "set interfaces ge-1/0/2.1 disable"]
["undo shutdown", "set interfaces ge-1/0/2.1 unit 0 disable"]
["ip address 192.168.1.2 255.255.255.0", "set interfaces ge-1/0/1.1 unit 0 family inet address 192.168.1.2/24"]
["bgp 65410", "set routing-options autonomous-system 65410"]
["bgp 65410", "set protocols bgp group 65410 type external"]
["peer 172.16.1.1 as-number 100", "set protocols bgp group 65410 type external"]
["peer 172.16.1.1 as-number 100", "set protocols bgp group 65410 neighbor 172.16.1.1 peer-as 100"]
["peer 172.16.1.1 as-number 100", "set protocols bgp group 65410 peer-as 100"]
["peer 172.16.1.1 as-number 100", "set protocols bgp group 65410 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65410 family inet unicast"]
["undo synchronization", "set protocols bgp group 65410 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement DIRECT term 1 from protocol direct"]
["peer 192.168.1.1 enable", "set policy-options policy-statement BGP-NETWORKS term 65410 then 192.168.1.1"]
["peer 172.16.1.1 enable", "set policy-options policy-statement BGP-NETWORKS term 65410 then 172.16.1.1"]
["interface GigabitEthernet1/0/2.1", "set interfaces ge-1/0/2.1 disable"]
["ip address 172.16.1.2 255.255.255.0", "set interfaces ge-1/0/1.1 unit 0 family inet address 172.16.1.2/24"]
