["sysname DeviceA", "set system host-name DeviceA"]
["aaa", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set system login user nms2-admin authentication encrypted-password \"$9$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1\""]
["local-user nms2-admin password irreversible-cipher %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%#", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set system login user nms2-admin authentication encrypted-password \"$9$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1\""]
["local-user nms2-admin service-type snmp", "set protocols oam ethernet connectivity-fault-management maintenance-association nms2-admin service-type snmp"]
["local-user nms2-admin user-group grp1", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set system login user nms2-admin class grp1"]
["task-group tg1", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set system login class tg1 permissions configure set system login class grp1 permissions [ configure snmp ]"]
["task-group tg1", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set groups grp1 set system login class tg1 permissions [ configure snmp ] set system login class grp1 permissions configure"]
["task snmp write", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set system login class tg1 permissions configure set system login class grp1 permissions [ configure snmp ]"]
["task snmp write", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set groups grp1 set system login class tg1 permissions [ configure snmp ] set system login class grp1 permissions configure"]
["user-group grp1", "set protocols oam ethernet connectivity-fault-management maintenance-association ma1 set groups grp1 set system login class tg1 permissions [ configure snmp ] set system login class grp1 permissions configure"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 1.1.2.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 1.1.2.1/24"]
["interface loopback0", "set interfaces lo0 disable"]
["ip address 1.1.3.1 255.255.255.255", "set interfaces ge-1/0/0 unit 0 family inet address 1.1.3.1/32"]
["ospf 1", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["area 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 1.1.2.0 0.0.0.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["network 1.1.3.1 0.0.0.0", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["snmp-agent", "set snmp"]
["snmp-agent password min-length 10", "set snmp community minimum-length 10"]
["snmp-agent local-engineid 800007DB03001974593301", "set snmp engine-id 80:00:07:db:03:00:19:74:59:33:01"]
["snmp-agent protocol source-interface Loopback0", "set snmp trap-group default source-address 1.1.3.1"]
["snmp-agent sys-info contact call Operator at 010-12345678", "set snmp contact call Operator at 010-12345678"]
["snmp-agent sys-info version v3", "set snmp version v3"]
["snmp-agent local-user v3 nms2-admin authentication-mode sha cipher %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%# privacy-mode aes128 cipher %#%#at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%#%#", "set snmp v3 usm local-engine user nms2-admin authentication-sha %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%# privacy-aes128 %#%#at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%#%#"]
