["sysname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.2.1.1 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.1/24"]
["interface LoopBack1", "set interfaces lo0.1 disable"]
["ip address 10.22.2.2 255.255.255.255", "set interfaces ge-1/0/0 unit 0 family inet address 10.22.2.2/32"]
["bgp 65420", "set routing-options autonomous-system 65420"]
["bgp 65420", "set protocols bgp group 65420 type external"]
["peer 10.2.1.2 as-number 100", "set protocols bgp group IBGP type external"]
["peer 10.2.1.2 as-number 100", "set protocols bgp group IBGP neighbor 10.2.1.2 peer-as 100"]
["peer 10.2.1.2 as-number 100", "set protocols bgp group IBGP peer-as 100"]
["peer 10.2.1.2 as-number 100", "set protocols bgp group IBGP export BGP-NETWORKS"]
["network 10.22.2.2 255.255.255.255", "set protocols ospf area 0.0.0.0 interface ge-0/0/1.0"]
["ipv4-family unicast", "set protocols bgp group 65420 family inet unicast"]
["peer 10.2.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 65420 then 10.2.1.2"]
