["sysname CE2", "set system host-name CE2"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.2.1.2 255.255.255.0", "set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.2/24"]
["interface LoopBack1", "set interfaces ge-1/0/0 disable"]
["ip address 22.22.22.22 255.255.255.255", "set interfaces ge-1/0/0 unit 0 family inet address 22.22.22.22/32"]
["bgp 65420", "set routing-options autonomous-system 65420"]
["bgp 65420", "set protocols bgp group 65420 type 65420"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 type external"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 neighbor 10.2.1.1 peer-as 100"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 peer-as 100"]
["peer 10.2.1.1 as-number 100", "set protocols bgp group 65420 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65420 family inet unicast"]
["undo synchronization", "set protocols bgp group 65420 family inet-vpn unicast"]
["network 22.22.22.22 255.255.255.255", "set protocols ospf area 22.22.22.22 interface ge-0/0/1.0"]
["peer 10.2.1.1 enable", "set policy-options policy-statement BGP-NETWORKS term 1 then accept"]
