["sysname CE3", "set system host-name CE3"]
["interface GigabitEthernet1/0/0", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 disable"]
["undo shutdown", "set interfaces ge-1/0/0 unit 0 disable"]
["ip address 10.3.1.1 255.255.255.252", "set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/30"]
["interface LoopBack1", "set interfaces lo0 disable"]
["ip address 5.5.5.5 255.255.255.255", "set interfaces ge-1/0/0 unit 0 family inet address 5.5.5.5/32"]
["bgp 65420", "set routing-options autonomous-system 65420"]
["bgp 65420", "set protocols bgp group 65420 type external"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 65420 type external"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 65420 neighbor 10.3.1.2 peer-as 100"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 65420 peer-as 100"]
["peer 10.3.1.2 as-number 100", "set protocols bgp group 65420 export BGP-NETWORKS"]
["ipv4-family unicast", "set protocols bgp group 65420 family inet unicast"]
["undo synchronization", "set protocols bgp group 65420 family inet-vpn unicast"]
["import-route direct", "set policy-options policy-statement direct term 1 from protocol direct"]
["peer 10.3.1.2 enable", "set policy-options policy-statement BGP-NETWORKS term 65420 then 10.3.1.2"]
