["sysname CE1", "set system host-name CE1"]
["vlan batch 5 9", "set vlans vlan5 vlan-id 9"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["portswitch", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["port link-type access", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode access"]
["port default vlan 5", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 5"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["interface GigabitEthernet1/0/3", "set interfaces ge-1/0/1 disable"]
["port default vlan 9", "set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members 9"]
["interface GigabitEthernet1/0/4", "set interfaces ge-1/0/1 disable"]
["interface GigabitEthernet1/0/5", "set interfaces ge-1/0/1 disable"]
["port link-type trunk", "set interfaces ge-1/0/1 unit 0 family ethernet-switching port-mode trunk"]
["port trunk allow-pass vlan 5 9", "set interfaces ge-1/0/1 set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members [ vlan5 vlan9 ]"]
