["sysname PE", "set system host-name PE"]
["interface GigabitEthernet1/0/1", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 disable"]
["undo shutdown", "set interfaces ge-1/0/1 unit 0 disable"]
["interface GigabitEthernet1/0/1.1", "set interfaces ge-1/0/1 disable"]
["vlan-type dot1q 10", "set interfaces ge-1/0/1 unit 1 vlan-id 10"]
["vlan-type dot1q 10", "set interfaces ge-1/0/1 unit 0 family ethernet-switching interface-mode trunk"]
["vlan-type dot1q 10", "set interfaces ge-1/0/1 unit 1 encapsulation vlan-ccc"]
["ip address 10.110.2.5 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.110.2.5/24"]
["interface GigabitEthernet1/0/2", "set interfaces ge-1/0/1 disable"]
["ip address 10.110.3.5 255.255.255.0", "set interfaces ge-1/0/1 unit 0 family inet address 10.110.3.5/24"]
