["set system host-name CE3", "hostname CE3"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/24", "ip address 10.3.1.1 255.255.255.0"]
["set interfaces ge-1/0/0 unit 0 disable", "interface ge-1/0/0.0"]
["set routing-options autonomous-system 800", "router bgp 800"]
["set protocols bgp group BGP_GROUP", "neighbor none remote-as none"]
["set protocols bgp group BGP_GROUP", "neighbor 10.1.1.2 activate"]
["set protocols bgp group BGP_GROUP", "no synchronization"]
["set protocols bgp group BGP_GROUP", "address-family ipv4 unicast"]
["set protocols bgp group BGP_GROUP", "address-family ipv4"]
["set protocols bgp group BGP_GROUP type external", "neighbor none remote-as none"]
["set protocols bgp group BGP_GROUP type external", "router bgp 800"]
["set protocols bgp group BGP_GROUP type external", "neighbor 10.3.1.2 remote-as 100"]
["set protocols bgp group BGP_GROUP neighbor 10.3.1.2 peer-as 100", "aaa authentication login BGP_GROUP group 100 local"]
["set protocols bgp group BGP_GROUP family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group BGP_GROUP family inet unicast", "address-family inet unicast"]
["set protocols bgp group BGP_GROUP family inet unicast", "exit-address-family"]
["set protocols bgp group BGP_GROUP neighbor 10.3.1.2 family inet unicast", "aaa authentication login BGP_GROUP group 10.3.1.2 local"]
["set protocols bgp group BGP_GROUP export ADVERTISE_NETWORK", "aaa authentication login ADVERTISE_NETWORK group BGP_GROUP local"]
["set policy-options policy-statement ADVERTISE_NETWORK", "route-map ADVERTISE_NETWORK permit 10"]
["set policy-options policy-statement ADVERTISE_NETWORK term 1 from route-filter 10.3.1.0/24 exact", "route-map ADVERTISE_NETWORK permit 10"]
["set policy-options policy-statement ADVERTISE_NETWORK term 1 from route-filter 10.3.1.0/24 exact", "match ip address prefix-list EXACT_10.3.1.0_24"]
["set policy-options policy-statement ADVERTISE_NETWORK term 1 from route-filter 10.3.1.0/24 exact", "!"]
["set policy-options policy-statement ADVERTISE_NETWORK term 1 from route-filter 10.3.1.0/24 exact", "ip prefix-list EXACT_10.3.1.0_24 seq 5 permit 10.3.1.0/24"]
["set policy-options policy-statement ADVERTISE_NETWORK term 1 then accept", "route-map ADVERTISE_NETWORK permit 1"]
["set policy-options policy-statement ADVERTISE_NETWORK term 1 then accept", "bgp confederation identifier 1"]
["set policy-options policy-statement ADVERTISE_NETWORK then reject", "route-map ADVERTISE_NETWORK deny 10"]
