["set system host-name DeviceB", "hostname DeviceB"]
["set interfaces ge-3/0/0", "interface GigabitEthernet3/0/0"]
["set interfaces ge-3/0/0", "no shutdown"]
["set interfaces ge-3/0/0 unit 0 family inet address 2.2.2.2/24", "end"]
["set interfaces ge-3/0/0 unit 0 family inet address 2.2.2.2/24", "ip address 2.2.2.2 255.255.255.0"]
["set interfaces ge-2/0/0", "no shutdown"]
["set interfaces ge-2/0/0 unit 0 family inet address 3.3.3.1/24", "ip address 3.3.3.1 255.255.255.0"]
["set protocols ospf area 0.0.0.0", "router ospf 1"]
["set protocols ospf area 0.0.0.0", "router-id 4.4.4.4"]
["set protocols ospf area 0.0.0.0", "network none 0.0.0.0 area 0"]
["set protocols ospf area 0.0.0.0 interface ge-3/0/0.0", "no passive-interface GigabitEthernet3/0/0"]
["set protocols ospf area 0.0.0.0 interface ge-2/0/0.0", "no passive-interface GigabitEthernet2/0/0.0"]
