["set system host-name CE4", "hostname CE4"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.4.1.1/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.4.1.1/24", "ip address 10.4.1.1 255.255.255.0"]
["set interfaces ge-1/0/0 unit 0 enable", "ip unnumbered ge-1/0/0"]
["set routing-options autonomous-system 65440", "router bgp 65440"]
["set protocols bgp group external", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group external", "neighbor 10.1.1.2 activate"]
["set protocols bgp group external", "no synchronization"]
["set protocols bgp group external", "address-family ipv4 unicast"]
["set protocols bgp group external", "address-family ipv4"]
["set protocols bgp group external type external", "neighbor none remote-as none"]
["set protocols bgp group external type external", "router bgp 65440"]
["set protocols bgp group external type external", "neighbor 10.4.1.2 remote-as 100"]
["set protocols bgp group external neighbor 10.4.1.2 peer-as 100", "aaa authentication login 10.4.1.2 group 100 local"]
["set protocols bgp group external family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group external family inet unicast", "address-family inet unicast"]
["set protocols bgp group external family inet unicast", "exit-address-family"]
["set protocols bgp group external export redistribute-connected", "aaa authentication login redistribute-connected group external local"]
["set policy-options policy-statement redistribute-connected", "route-map redistribute-connected permit 1"]
