["set system host-name DeviceC", "hostname DeviceC"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.20.1.1/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.20.1.1/24", "ip address 10.20.1.1 255.255.255.0"]
["set protocols bgp group IBGP", "router bgp 600"]
["set protocols bgp group IBGP", "neighbor none remote-as none"]
["set protocols bgp group IBGP", "neighbor none activate"]
["set protocols bgp group IBGP", "no synchronization"]
["set protocols bgp group IBGP", "address-family ipv4 unicast"]
["set protocols bgp group IBGP", "address-family ipv4"]
["set protocols bgp group IBGP type internal", "neighbor none remote-as none"]
["set protocols bgp group IBGP type internal", "router bgp 100"]
["set protocols bgp group IBGP type internal", "neighbor 10.20.1.2 remote-as 100"]
["set protocols bgp group IBGP type internal", "neighbor 10.20.1.2 update-source 10.20.1.1"]
["set protocols bgp group IBGP local-address 10.20.1.1", "aaa authentication login IBGP group 10.20.1.1 local"]
["set protocols bgp group IBGP neighbor 10.20.1.2 peer-as 100", "aaa authentication login IBGP group 100 local"]
["set protocols bgp group IBGP family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group IBGP family inet unicast", "address-family inet unicast"]
["set protocols bgp group IBGP family inet unicast", "exit-address-family"]
["set protocols bgp group IBGP export redistribute-connected", "aaa authentication login redistribute-connected group IBGP local"]
["set protocols ospf area 0.0.0.0", "router ospf 1"]
["set protocols ospf area 0.0.0.0", "router-id 4.4.4.4"]
["set protocols ospf area 0.0.0.0", "network none 0.0.0.0 area 0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "no passive-interface GigabitEthernet1/0/0"]
["set policy-options policy-statement redistribute-connected", "route-map redistribute-connected permit 1"]
["set policy-options policy-statement redistribute-connected term 1 then accept", "bgp confederation identifier 1"]
["set routing-options autonomous-system 100", "router bgp 100"]
