["set system host-name CE1", "hostname CE1"]
["set vlans vlan10", "vlan 10"]
["set vlans vlan10", "name vlan10"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "no shutdown"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "switchport"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "switchport mode access"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "end"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "switchport"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "switchport access vlan 10"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members vlan10", "switchport trunk allowed vlan 10"]
["set interfaces ge-0/0/1 enable", "ipv6 enable"]
["set interfaces ge-0/0/2", "no shutdown"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode trunk", "switchport"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode trunk", "switchport mode trunk"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan10", "switchport"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan10", "switchport access vlan 10"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members vlan10", "switchport trunk allowed vlan 10"]
["set interfaces ge-0/0/2 enable", "ipv6 enable"]
