["set system host-name SSH_Server", "hostname SSH_Server"]
["set system domain-name example.com", "ip domain-name example.com"]
["set system services ssh", "ip ssh version 2"]
["set system services ssh", "ip ssh cipher aes128-ctr aes192-ctr aes256-ctr"]
["set system services ssh protocol-version v2", "ip ssh server v2"]
["set system services ssh ciphers aes128-ctr", "ip ssh server algorithm encryption aes128-ctr aes192-ctr aes256-ctr"]
["set system services ssh ciphers aes192-ctr", "ip ssh server algorithm encryption aes192-ctr aes128-ctr aes256-ctr"]
["set system services ssh ciphers aes256-ctr", "ip ssh server algorithm encryption aes256-ctr aes192-ctr aes128-ctr"]
["set interfaces lo0", "interface Loopback0"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 0 family inet address 10.1.1.1/32", "end"]
["set interfaces lo0 unit 0 family inet address 10.1.1.1/32", "ip address 10.1.1.1 255.255.255.255"]
["set interfaces ge-0/0/0", "interface ge-0/0/0"]
["set interfaces ge-0/0/0", "no shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 10.1.1.2/16", "ip address 10.1.1.2 255.255.0.0"]
["set interfaces ge-0/0/0 unit 0 disable", "interface ge-0/0/0.0"]
["set system login user client001", "username client001"]
["set system login user client001 class super-user", "username client001 privilege 15 secret [plain-text-password]"]
["set system login user client001 authentication plain-text-password", "aaa authentication login default plain-text-password"]
