["set system host-name CE2", "hostname CE2"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "no shutdown"]
["set interfaces ge-0/0/1 unit 0 family inet address 10.1.2.1/24", "end"]
["set interfaces ge-0/0/1 unit 0 family inet address 10.1.2.1/24", "ip address 10.1.2.1 255.255.255.0"]
["set protocols bgp group CE2_to_Peer", "router bgp 600"]
["set protocols bgp group CE2_to_Peer", "neighbor none remote-as none"]
["set protocols bgp group CE2_to_Peer", "neighbor 10.1.1.2 activate"]
["set protocols bgp group CE2_to_Peer", "no synchronization"]
["set protocols bgp group CE2_to_Peer", "address-family ipv4 unicast"]
["set protocols bgp group CE2_to_Peer", "address-family ipv4"]
["set protocols bgp group CE2_to_Peer type external", "neighbor none remote-as none"]
["set protocols bgp group CE2_to_Peer type external", "router bgp 65000"]
["set protocols bgp group CE2_to_Peer type external", "neighbor 10.1.2.2 remote-as 100"]
["set protocols bgp group CE2_to_Peer peer-as 100", "router bgp 100"]
["set protocols bgp group CE2_to_Peer peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group CE2_to_Peer peer-as 100", "neighbor 10.1.2.2 remote-as 100"]
["set protocols bgp group CE2_to_Peer neighbor 10.1.2.2", "neighbor 10.1.2.2 remote-as none"]
["set protocols bgp group CE2_to_Peer neighbor 10.1.2.2", "neighbor 10.1.2.2 remote-as 100"]
["set protocols bgp group CE2_to_Peer family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group CE2_to_Peer family inet unicast", "address-family inet unicast"]
["set protocols bgp group CE2_to_Peer family inet unicast", "exit-address-family"]
["set protocols bgp group CE2_to_Peer family inet unicast prefix-limit 10.1.2.0/24", "neighbor 10.1.2.0 remote-as 24"]
["set protocols bgp group CE2_to_Peer family inet unicast prefix-limit 10.1.2.0/24", "neighbor 10.1.2.2 maximum-prefix 10 10.1.2.0 255.255.255.0"]
