["set system host-name LSRB", "hostname LSRB"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "no shutdown"]
["set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24", "end"]
["set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24", "ip address 10.1.2.1 255.255.255.0"]
["set interfaces ge-1/0/3", "no shutdown"]
["set interfaces ge-1/0/3 unit 0 family inet address 10.1.1.2/24", "ip address 10.1.1.2 255.255.255.0"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 0 family inet address 2.2.2.9/32", "ip address 2.2.2.9 255.255.255.255"]
["set protocols mpls interface ge-1/0/1.0", "mpls ip"]
["set protocols mpls interface ge-1/0/1.0", "mpls label protocol ldp"]
["set protocols mpls interface ge-1/0/3.0", "mpls label protocol ldp"]
["set protocols ldp router-id 2.2.2.9", "mpls ldp router-id 2.2.2.9"]
["set protocols ldp router-id 2.2.2.9", "mpls ldp router-id Loopback0 force"]
["set protocols ospf area 0.0.0.0", "router ospf 1"]
["set protocols ospf area 0.0.0.0", "router-id 4.4.4.4"]
["set protocols ospf area 0.0.0.0", "network none 0.0.0.0 area 0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "no passive-interface Loopback0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "no passive-interface GigabitEthernet1/0/1"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/3.0", "no passive-interface GigabitEthernet1/0/3"]
