["set system host-name DeviceD", "hostname DeviceD"]
["set protocols ospf area 0.0.0.2", "router ospf 2"]
["set protocols ospf area 0.0.0.2", "router-id 4.4.4.4"]
["set protocols ospf area 0.0.0.2", "network none none area 0.0.0.2"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "end"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "no passive-interface GigabitEthernet0/0/0"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/1", "no passive-interface GigabitEthernet0/0/1"]
["set routing-options router-id 4.4.4.4", "router-id 4.4.4.4"]
["set interfaces ge-0/0/0", "interface GigabitEthernet0/0/0"]
["set interfaces ge-0/0/0", "no shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 192.168.2.2/24", "ip address 192.168.2.2 255.255.255.0"]
["set interfaces ge-0/0/0 enable", "ipv6 enable"]
["set interfaces ge-0/0/1", "no shutdown"]
["set interfaces ge-0/0/1 unit 0 family inet address 172.17.1.1/24", "ip address 172.17.1.1 255.255.255.0"]
["set interfaces ge-0/0/1 enable", "ipv6 enable"]
