["set system host-name CE2", "hostname CE2"]
["set vlans vlan-10", "vlan 10"]
["set vlans vlan-10", "name vlan-10"]
["set interfaces ae1", "interface GigabitEthernet1/0/1"]
["set interfaces ae1", "no shutdown"]
["set interfaces ae1 aggregated-ether-options", "ipv6 address autoconfig default"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 enable", "end"]
["set interfaces ge-1/0/0 enable", "ipv6 enable"]
["set interfaces ge-1/0/0 ether-options 802.3ad ae1", "interface ge-1/0/0.1"]
