["set system host-name CE1", "hostname CE1"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "no shutdown"]
["set interfaces ge-1/0/1 vlan-tagging", "tag-switching ip"]
["set interfaces ge-1/0/1 unit 1 vlan-id 1", "end"]
["set interfaces ge-1/0/1 unit 1 vlan-id 1", "switchport access vlan 1"]
["set interfaces ge-1/0/1 unit 1 family inet address 192.168.1.2/24", "ip address 192.168.1.2 255.255.255.0"]
["set interfaces ge-1/0/2", "no shutdown"]
["set interfaces ge-1/0/2 vlan-tagging", "tag-switching ip"]
["set interfaces ge-1/0/2 unit 1 vlan-id 1", "switchport access vlan 1"]
["set interfaces ge-1/0/2 unit 1 family inet address 172.16.1.2/24", "ip address 172.16.1.2 255.255.255.0"]
["set routing-options autonomous-system 65410", "router bgp 65410"]
["set routing-options router-id 192.168.1.2", "router-id 192.168.1.2"]
["set policy-options policy-statement IMPORT-DIRECT", "route-map IMPORT-DIRECT permit 1"]
["set policy-options policy-statement IMPORT-DIRECT term 1 then accept", "bgp confederation identifier 1"]
["set protocols bgp group EBGP", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group EBGP", "neighbor 10.1.1.2 activate"]
["set protocols bgp group EBGP", "no synchronization"]
["set protocols bgp group EBGP", "address-family ipv4 unicast"]
["set protocols bgp group EBGP", "address-family ipv4"]
["set protocols bgp group EBGP type external", "neighbor none remote-as none"]
["set protocols bgp group EBGP type external", "router bgp 65410"]
["set protocols bgp group EBGP type external", "neighbor EBGP peer-group"]
["set protocols bgp group EBGP type external", "neighbor EBGP ebgp-multihop 255"]
["set protocols bgp group EBGP type external", "neighbor EBGP remote-as 100"]
["set protocols bgp group EBGP peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group EBGP peer-as 100", "router bgp 65410"]
["set protocols bgp group EBGP peer-as 100", "neighbor 192.168.1.1 remote-as 100"]
["set protocols bgp group EBGP peer-as 100", "neighbor 172.16.1.1 remote-as 100"]
["set protocols bgp group EBGP neighbor 192.168.1.1", "neighbor 192.168.1.1 remote-as none"]
["set protocols bgp group EBGP neighbor 192.168.1.1", "neighbor 192.168.1.1 remote-as 100"]
["set protocols bgp group EBGP neighbor 172.16.1.1", "neighbor 172.16.1.1 remote-as none"]
["set protocols bgp group EBGP neighbor 172.16.1.1", "neighbor 172.16.1.1 remote-as 100"]
["set protocols bgp group EBGP export IMPORT-DIRECT", "aaa authentication login IMPORT-DIRECT group none local"]
