["set system host-name CE2", "hostname CE2"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.1/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.1/24", "ip address 10.2.1.1 255.255.255.0"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 1 family inet address 10.22.2.2/32", "ip address 10.22.2.2 255.255.255.255"]
["set protocols bgp group external-peers", "router bgp external-peers"]
["set protocols bgp group external-peers", "neighbor none remote-as none"]
["set protocols bgp group external-peers", "neighbor 10.1.1.2 activate"]
["set protocols bgp group external-peers", "no synchronization"]
["set protocols bgp group external-peers", "address-family ipv4 unicast"]
["set protocols bgp group external-peers", "address-family ipv4"]
["set protocols bgp group external-peers type external", "neighbor none remote-as none"]
["set protocols bgp group external-peers type external", "router bgp 100"]
["set protocols bgp group external-peers type external", "neighbor 10.2.1.2 remote-as 100"]
["set protocols bgp group external-peers peer-as 100", "router bgp 100"]
["set protocols bgp group external-peers peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group external-peers peer-as 100", "neighbor 10.2.1.2 remote-as 100"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "router bgp 600"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "neighbor 10.2.1.2 remote-as none"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "router bgp 100"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "neighbor 10.2.1.2 remote-as 100"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "neighbor 10.2.1.2 address-family ipv4 unicast"]
["set protocols bgp group external-peers family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group external-peers family inet unicast", "address-family inet unicast"]
["set protocols bgp group external-peers family inet unicast", "exit-address-family"]
["set protocols bgp group external-peers neighbor 10.2.1.2 family inet unicast", "aaa authentication login external-peers group 10.2.1.2 local"]
["set protocols bgp group external-peers export advertise-lo0", "aaa authentication login advertise-lo0 group external-peers local"]
["set policy-options policy-statement advertise-lo0", "route-map advertise-lo0 permit 10"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "route-map advertise-lo0 permit 10"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "match ip address prefix-list exact-lo0"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "ip prefix-list exact-lo0 permit 10.22.2.2/32"]
["set policy-options policy-statement advertise-lo0 term 1 then accept", "bgp confederation identifier 1"]
