["set system host-name CE2", "hostname CE2"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.2/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.2/24", "ip address 10.2.1.2 255.255.255.0"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 1 family inet address 22.22.22.22/32", "ip address 22.22.22.22 255.255.255.255"]
["set protocols bgp group external-peers", "router bgp 600"]
["set protocols bgp group external-peers", "neighbor none remote-as none"]
["set protocols bgp group external-peers", "neighbor 10.1.1.2 activate"]
["set protocols bgp group external-peers", "no synchronization"]
["set protocols bgp group external-peers", "address-family ipv4 unicast"]
["set protocols bgp group external-peers", "address-family ipv4"]
["set protocols bgp group external-peers type external", "router bgp external-peers"]
["set protocols bgp group external-peers type external", "neighbor none remote-as none"]
["set protocols bgp group external-peers type external", "router bgp 100"]
["set protocols bgp group external-peers type external", "neighbor 10.2.1.1 remote-as 100"]
["set protocols bgp group external-peers peer-as 100", "router bgp 100"]
["set protocols bgp group external-peers peer-as 100", "neighbor none remote-as 100"]
["set protocols bgp group external-peers peer-as 100", "neighbor 10.2.1.1 remote-as 100"]
["set protocols bgp group external-peers neighbor 10.2.1.1", "neighbor 10.2.1.1 remote-as none"]
["set protocols bgp group external-peers neighbor 10.2.1.1", "router bgp 100"]
["set protocols bgp group external-peers neighbor 10.2.1.1", "neighbor 10.2.1.1 remote-as 100"]
["set protocols bgp group external-peers export advertise-networks", "aaa authentication login advertise-networks group external-peers local"]
["set policy-options policy-statement advertise-networks", "route-map advertise-networks permit 10"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "route-map advertise-networks permit 1"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "match ip address prefix-list exact-route"]
["set policy-options policy-statement advertise-networks term 1 from route-filter 22.22.22.22/32 exact", "ip prefix-list exact-route permit 22.22.22.22/32"]
